timestamp,message,channel,status,views,clicks
2026-04-13T10:32:00,🔥 Amazon Laptop Deal - 52% OFF - ₹24,999,main,sent,245,18
2026-04-13T11:48:00,📱 Smartphone Flash Sale - 40% OFF - ₹12,999,main,sent,189,12
2026-04-13T14:25:00,🎓 Free Programming Course - Limited Time,education,sent,156,8
2026-04-13T16:18:00,👕 Fashion Mega Sale - Up to 70% OFF,main,sent,298,24
2026-04-13T18:35:00,🏠 Home Appliances Deal - 35% OFF,main,sent,167,9
2026-04-14T09:20:00,☕ Coffee Maker Special - 45% OFF,main,sent,134,7
2026-04-14T12:15:00,🎮 Gaming Laptop Deal - 30% OFF,main,sent,412,31
2026-04-14T15:45:00,👚 Sports Shoes Sale - 50% OFF,main,sent,223,19
2026-04-14T18:50:00,📚 Kindle Books Bundle - 80% OFF,main,sent,98,6
2026-04-15T10:10:00,🔧 Tool Set Deal - 60% OFF,main,sent,145,11
2026-04-15T13:30:00,💻 Laptop Accessory Pack - 40% OFF,main,sent,278,22
